unixTime,leftRearCompression,rightRearCompression,leftFrontCompression,rightFrontCompression,steeringAngle
637238813955144923,0.4594454,0.4696019,0.4221814,0.4334976,30
637238813955344544,0.4624606,0.4677998,0.4244368,0.4342934,35
637238813955563838,0.4626215,0.4659102,0.4245378,0.4329003,40
637238813955902879,0.4633859,0.4644285,0.4259333,0.4320633,45
637238813956072432,0.4657428,0.4631601,0.428118,0.429926,45
637238813956630948,0.4653003,0.4644871,0.4297631,0.4288383,45
637238813956770563,0.4661002,0.4640273,0.4316286,0.427007,45
637238813956950104,0.463967,0.4647665,0.4323722,0.4255812,45
637238813957219360,0.4628778,0.469192,0.4323152,0.4253619,45
637238813957388931,0.4610069,0.4704112,0.4295427,0.4265965,45
637238813957558495,0.4579695,0.4724039,0.4250889,0.4302301,45
637238813957817782,0.4559352,0.4750426,0.4200694,0.4329318,45
637238813958266562,0.4498062,0.4832531,0.4139332,0.442143,45
637238813958545817,0.4400653,0.4973502,0.4073812,0.45563,45
637238813958705395,0.4365239,0.5028374,0.401565,0.4622623,45
637238813959044487,0.4321951,0.5079374,0.3971368,0.5261323,45
637238813959233994,0.4290544,0.511905,0.3924534,0.4824036,45
637238813959513269,0.4196045,0.5161272,0.3836332,0.4785105,45
637238813960251271,0.4117407,0.5218704,0.3744948,0.4882281,45
637238813960580377,0.4074023,0.521462,0.3690553,0.4911099,45
637238813960739953,0.4081197,0.520789,0.3669244,0.4928603,45
637238813960979326,0.4082611,0.5201737,0.3653187,0.497703,45
637238813961328381,0.413399,0.5193703,0.3648202,0.5014933,45
637238813962056441,0.4242516,0.5186434,0.3703969,0.5038387,45
637238813962285814,0.4304835,0.5177947,0.3752339,0.5039685,45
637238813962445387,0.4346104,0.5174259,0.3766131,0.5029934,45
637238813962714690,0.440466,0.5170002,0.378226,0.5022049,45
637238813962954029,0.4434438,0.5164008,0.3810738,0.5024318,45
637238813963602402,0.4508681,0.5146483,0.3861461,0.4955682,45
637238813963781967,0.4553553,0.514187,0.385525,0.4897939,45
637238813964140859,0.455685,0.5139723,0.3936655,0.4851722,45
637238813964340327,0.4551579,0.5140209,0.3939683,0.4807959,45
637238813964509876,0.4543008,0.5143268,0.3957162,0.476798,45
637238813965437446,0.4488385,0.5180044,0.3935508,0.4615667,45
637238813965746562,0.4405708,0.5048493,0.3952699,0.4565948,45
637238813965926104,0.4370536,0.4976919,0.3956591,0.4555517,45
637238813966135651,0.4336478,0.4925058,0.3983336,0.4556906,45
637238813966843625,0.4317484,0.4905208,0.409237,0.4618264,45
637238813967082989,0.4301519,0.4931607,0.4134488,0.4746045,45
637238813967287574,0.4295267,0.4955736,0.4180999,0.4760639,45
637238813967556858,0.4291275,0.4983521,0.4223887,0.4794415,45
637238813967816163,0.4292054,0.5015507,0.424259,0.4836708,45
637238813968629368,0.4312466,0.5136186,0.4267206,0.500645,45
637238813968898420,0.4285715,0.519524,0.4254406,0.5060869,45
637238813969117817,0.4270107,0.5208735,0.4234989,0.5077801,45
637238813969392428,0.4254132,0.520419,0.4209296,0.5087911,45
637238813970010772,0.4221967,0.5155613,0.4134278,0.5017446,45
637238813970355166,0.4208037,0.5153313,0.4076479,0.4969849,45
637238813970504784,0.4211152,0.5158554,0.4049969,0.4941292,45
637238813970903704,0.4275404,0.516783,0.3993289,0.4875582,45
637238813971053308,0.4287771,0.5169707,0.3968427,0.4839336,45
637238813971711564,0.433238,0.5173367,0.3922687,0.4726878,45
637238813971970851,0.4315321,0.5177601,0.3915728,0.4691191,45
637238813972140398,0.4360268,0.5183616,0.3869032,0.4659001,45
637238813972619114,0.4363962,0.5202832,0.3852487,0.4567974,45
637238813972768717,0.43813,0.5182471,0.3857955,0.4534703,45
637238813973377102,0.4448242,0.5151302,0.392895,0.4478864,45
637238813973556631,0.446566,0.5136708,0.3961583,0.4472994,45
637238813973915646,0.4490044,0.5127515,0.3963955,0.448056,45
637238813974174973,0.4496034,0.5102018,0.4000888,0.4493266,45
637238813974553948,0.4495778,0.5073925,0.4049816,0.4532978,45
637238813975042677,0.4478502,0.5058785,0.4142739,0.4592979,45
637238813975272065,0.4442028,0.5033047,0.418793,0.4602656,45
637238813975431599,0.4424138,0.5025512,0.4161023,0.4630633,45
637238813975581353,0.4424138,0.5025512,0.4161023,0.4630633,45
637238813975950225,0.4386908,0.5022268,0.4227419,0.4704269,45
637238813976438942,0.4350305,0.5053145,0.4258265,0.4789091,45
637238813977276666,0.4289977,0.5109972,0.4245228,0.4889972,45
637238813977416297,0.4278167,0.5118299,0.4236783,0.491561,45
637238813977635747,0.4267391,0.5131916,0.4237094,0.4941023,45
637238813977954857,0.4256472,0.5167971,0.4224564,0.4985756,45
637238813978543356,0.4225755,0.5181952,0.4200612,0.494481,45
